instruction,output
개들의 신경학적 상태를 평가하기 위해 kullanılan '모디파이드 프랭켈 스케일'의 등급은 몇 가지입니다?,5가지
심장 초음파 검사에서 2DST 기술이 제공하는 이점은 무엇입니까?,2DST(Two-dimensional speckle tracking)는 심근 변형(strain)을 정량적으로 평가할 수 있는 최근 개발된 초음파 기술입니다. 이 기술은 심근의 수축 능력에 대한 상대적으로 부하 독립적인 측정값인 시술률을 제공합니다.
말의 폐렴에서 hyponatremia와 염증 마커 및 SIRS 사이의 연관성은 무엇입니까?,"말의 폐렴에서 hyponatremia는 염증과 SIRS(전신성 염증 반응 증후군)와 관련이 있습니다. 이는 말의 폐렴에서 흔히 볼 수 있는 임상적, 혈구적, 영상학적 발견입니다."
이 연구에서 고양이의 pH 캡슐 위치는 어떻게 확인되었나요?,캡슐 배달 장치를 이용한 측정
다음 중 폐의 토크포자증에 대한 적절한 치료법은 무엇입니까?,수술적 관리.
"고양이의 급성 신장 질환(AKI)을 진단하는 데 있어서, 소변 내 헤모주벨린(u-hemojuvelin)의 역할은 무엇인가?","소변 내 헤모주벨린(u-hemojuvelin)은 고양이의 급성 신장 질환(AKI)을 포함한 다양한 신장 질환을 진단하는 데 도움이 되는 바이오마커로 활용될 수 있습니다. 연구에서는 u-hemojuvelin의 농도와 u-hemojuvelin-to-creatinine ratio (UHCR)가 건강한 고양이와 AKI, 만성 신장 질환(CKD), 급성-만성 신장 질환(ACKI)을 가진 고양이 사이에 유의미한 차이를 보였음을 보여주었습니다."
"SLN, MRLN, DWORF의 기능은 무엇입니까?","SLN, MRLN, DWORF는 transmembrane regulators로서 SERCA의 기능을 조절합니다."
"CRP는 무엇의 약자이며, 어떤 역할을 합니까?","CRP는 C-reactive protein (C-반응 단백질)의 약자로, 주요 급성 단계 단백질로서 감염과 염증을 나타내는 바이오마크입니다."
하이퍼아در코티시즘(Hypoadrenocorticism)의 증상은 무엇입니까?,"증상으로는 체중 감소, 식욕 감소, 다음증, 그리고 무기력함 등이 있습니다."
개에서 라포라 병 (Lafora disease)을 진단하는 데 사용되는 MRI 기술은 무엇입니까?,1HMRS (proton magnetic resonance spectroscopy)
포타토와 펄스 성분이 포함된 식단은 개에게 어떤 영향을 미칩니까?,"비전통적인 식단은 개들의 심장 구조에 변화를 가져올 수 있습니다. 특히, 왼쪽 심장의 길이와 넓이의 비율인 SI 값에 영향을 미칩니다."
ESVC-O-1에서 논의된 연구의 주요 초점은 무엇입니까?,미탈 밸브 수리 및 인공 코드 및 환상술의 장기 결과
다음 중 Gentamicin (GENT)가 가장 자주 사용되는 경로는 무엇입니까?,정맥 내 (IV) 경로
MRI에서 extra-axial mass를 진단하는 데 도움이 되는 두 가지 다른 유형의 이미지 시퀀스는 무엇입니까?,T1-W 및 T2-W 이미지 시퀀스
"phenylbutazone, firocoxib 및 dipyrone이 마물의 furosemide에 대한 반응에 미치는 영향에 대해 설명하십시오.",phenylbutazone (비선택적 COX 저해제)은 furosemide의 이뇨 및 나트륨 배설 효과를 약 30% 감소시켰습니다. 그러나 firocoxib (COX-2 선택적 억제제)과 dipyrone (비전형적 NSAID)의 영향은 연구되지 않았습니다.
의료용 등급 HP 폴리프로필렌 (HP) 용기의 장점은 무엇입니까?,의료용 등급 HP 폴리프로필렌 (HP) 용기는 단백질 흡착을 방지하여 생체표본 저장에 적합합니다.
말에 멜록사캄을 투여하는 가장 일반적인 경로는 무엇입니까?,멜록사캄은 일반적으로 경구 투여됩니다.
Bartonella spp.가 개에서 발견되는 가장 흔한 바실루스 종은 무엇입니까?,B. vinsonii subsp. berkhoﬃi genotype I
수면 무호흡증(Sleep Apnea)을 평가하기 위한 진단 방법에는 무엇이 있나요?,진단 방법으로는 수면 다원 녹음법(polysomnography)과 전신 바로메트릭 플레임스모그라피(whole-body barometric plethysmography)가 있습니다.
신경외과 전문의가 감독하는 훈련 과정에서 사용하는 유사 장치에는 어떤 것들이 있습니까?,"신경외과 전문의가 감독하는 훈련 과정에서 사용하는 유사 장치에는 Nicolet Viking Select & Nicolet Viking IV P, Viasys Healthcare, Madison, Wisconsin 등이 있습니다."
"TPA는 개에서 IMHA 및 MG 치료에 효과적인 것으로 나타났지만, IMT에 대한 치료법은 아직 설명되지 않았습니다. 이 연구의 목적은 무엇입니까?","IMT를 치료하기 위한 TPA의 기술, 합병증 및 결과를 설명하는 것입니다."
말의 EGA(Equine Granulocytic Anaplasmosis)가 주로 진단되는 연령대는 언제인가요?,3개월에서 6개월 사이입니다.
고양이에 스테로이드를 투여하면 어떤 변화가 발생합니까?,"스테로이드는 고양이의 심장 크기를 증가시키고 NT-proBNP 농도를 높입니다. 또한, 체내 수분 저류와 관련된 혈류 역학 변화가 일어날 수 있습니다."
말의 척수 신경에 바늘이 닿을 때 예측할 수 없는 반응이나 폭력적인 반응이 나타나는 이유는 무엇입니까?,척수 신경에 대한 바늘 찌름으로 인한 통증과 자극 때문입니다.
DCM을 앓고 있는 도베르만 핀셔에서 SCD를 예측하는 데 도움이 될 수 있는 가능한 심전도 변화는 무엇입니까?,ventricular late potentials
개에서 피부 또는 피하 조직으로의 전이성 골암종 양성의 비율은 얼마입니까?,"4%에서 11% 사이입니다. 세 가지 다른 연구에서 해당 비율이 각각 4%, 6%, 11%로 보고되었습니다."
이 연구의 목적은 무엇입니까?,"자연스럽게 발생하는 개들의 갑상선 호르몬 수치 변화를 관찰하여 갑상선 기능 저하증의 회복 과정에 대한 이해를 돕고, 정확한 갑상선 기능 검사를 위한 권장 사항을 제공하기 위함입니다."
마취된 말에서 뇌척수액을 채취하는 가장 일반적인 방법은 무엇입니까?,뇌척수액을 채취하는 가장 일반적인 방법은 요추천자술입니다.
개에서 근육의 비정상적인 퇴축과 관련된 유전자는 무엇입니까?,LAMA2 유전자
개에서 뇌 종양의 종류 중 하나는 무엇입니까?,개에서 뇌 종양의 종류 중 하나는 meningioma입니다.
LPE와 SCL을 차별화하기 위해 사용되는 기술은 무엇입니까?,histology-guided mass spectrometry (HGMS)
항생제 내성 Escherichia coli (E. coli) 감염을 치료하기 위해 사용되는 항생제 조합은 무엇입니까?,"트림토프림-설파메토그자올과 엔로플록사신, 젠타마이신, 임피펜임"
예방 접종 후 항체 검사를 통해 확인할 수 있는 것은 무엇입니까?,예방 접종 후 항체 검사는 개체 내 특정 질병에 대한 면역 반응을 확인하는 데 사용됩니다.
RCV(Reference Change Value)와 CD(Critical Difference)는 어떤 의미입니까?,"RCV(Reference Change Value)와 CD(Critical Difference)는 모두 분석 대상자의 상태 변화 여부를 판단하기 위한 기준값입니다. RCV는 이전 값과의 차이에서 분석 오차를 고려한 값인 반면, CD는 단순히 비율만 고려합니다."
GHIBI가 일으키는 신경학적 장애의 정도에 대해 무엇을 말할 수 있습니까?,"GHIBI (Global Hypoxic-Ischemic Brain Injury)는 다양한 정도의 신경학적 장애를 일으킬 수 있습니다. 일부 환자는 완전히 회복되거나 거의 회복되는 반면, 다른 환자들은 심각한 신경학적 결손을 경험할 수 있습니다."
"고양이의 만성 신장 질환 진단에 있어서, 소변 내 단백질과 크레아티닌의 비율을 나타내는 UPC와 소변의 농도를 나타내는 USG가 중요한 이유는 무엇인가요?","UPC와 USG는 고양이의 만성 신장 질환을 진단하고 모니터링하는 데 중요한 지표입니다. UPC는 신장에서 단백질이 여과되는 양을 나타내고, USG는 소변의 농도와 신장 기능에 대한 정보를 제공합니다."
고양이의 만성 신질환(CKD)에서 레닌-안지오텐신-알도스테론 시스템의 역할은 무엇입니까?,"레닌-안지오텐신 시스템(RAS)은 혈압과 체액 균형을 조절하는 중요한 호르몬 시스템입니다. CKD 고양이에서 RAS의 활성화는 신장 기능 저하와 관련이 있으며, 이 연구는 CKD 고양이의 신장에서 RAS 구성 요소를 특성화하여 이 시스템의 역할을 더욱 이해하기 위한 것입니다."
콜라겐 타입 V 알파 1 체인 (COL5A1) 변종의 특징은 무엇인가요?,꽃 모양의 콜라겐 섬유와 증가된 피부 마스트 세포 수
GTVr와 GTVf의 차이는 무엇입니까?,"GTVr (Gross Tumor Volume residual)는 방사선 치료 후 남은 종양의 부피를 나타내고, GTVf (Gross Tumor Volume failure)는 방사선 치료에도 불구하고 종양이 재발한 부위를 나타냅니다."
개에서 피부 플라즈마세포 종양의 진단은 어떤 기준에 의존합니까?,개에서 피부 플라즈마세포 종양의 진단은 조직병리학적 검사와 면역조직화학염색을 포함한 여러 기준에 의존합니다.
개에서 위궤양을 진단하는 데 사용되는 검사 방법은 무엇입니까?,개에서 위궤양을 진단하기 위해서는 gastroscopic examination (내시경 검사)이 필요합니다.
SAA가 주요 급성 단계 단백질으로 간주되는 이유는 무엇입니까?,"SAA(세럼 아밀로이드 A)는 건강할 때 낮은 농도에서 거의 검출되지 않지만, 급성 염증 자극 이후 빠르게 10배 이상 증가하고 자극이 멈추면 빠르게 감소하기 때문입니다."
"Tritrichomonas foetus, feline coronavirus, panleukopenia virus, 또는 그 조합이 고양이의 만성 위장관 질환의 원인이 될 수 있습니까?","네, Tritrichomonas foetus, feline coronavirus, 그리고 panleukopenia virus는 모두 고양이의 만성 위장관 질환과 연관되어 있습니다."
고양이의 외분비성 췌장 기능부전(EPI)과 관련된 가장 흔한 임상적 증상은 무엇입니까?,체중 감소
"개에서 만성 소화기 질환의 징후가 있는 경우, 식사 후 혈중 코발람린, 엽산, канинепсин- 유사 면역반응 및 췌장 리파아제 면역반응 농도는 공복 상태와 얼마나 다릅니까?","개에서 만성 소화기 질환의 징후가 있는 경우, 식사 후 2시간과 4시간에 혈중 코발람린과 канинепсин-유사 면역반응 농도는 공복 상태와 유사합니다."
약물 치료가 효과가 없는 심한 MMVD 환견에게 추천되는 수술적 치료법은 무엇입니까?,심한 MMVD 환견에게 추천되는 수술적 치료법은 mitral valve replacement (MVR) 또는 mitral valve reconstruction (MVR)입니다.
고양이의 만성 신질환(CKD)에서 신로석회화(nephrocalcinosis)의 위험 요인은 무엇입니까?,높은 혈중 총 칼슘 농도와 인산제한 식이(PRD)가 신로석회화의 독립적인 위험 요인입니다.
개에서 경량의 비타민 B12 결핍을 진단하는 데 사용되는 컷오프 값은 무엇입니까?,270 ng/L
고양이의 만성 대장염과 위장염을 차별화하기 위해 사용되는 주요 진단 방법은 무엇입니까?,고양이의 만성 대장염과 위장염을 차별화하기 위해 사용되는 주요 진단 방법은 내시경과 조직 검사입니다.
SDMA가 신장 기능의 지표로 사용되는 이유는 무엇입니까?,"SDMA는 신장 기능과 직접적인 상관관계가 있으며, 사구체 여과율이 감소하면 증가하고 사구체 여과율이 증가하면 감소하는 역의 상관관계를 보이기 때문입니다."
2019 ACVIM 포럼에서 심장학 분야의 구두 발표는 몇 건이었나요?,5건
"SpECG와 rECG를 비교했을 때, 두 장치 간의 합의 정도는 어떻게 됩니까?","두 장치 모두 말의 심장 리듬 이상을 감지하는 데 있어 좋은 도구입니다. 또한, 두 장치 모두 양쪽 흉부로부터 얻은 추적에서 전기적 이탈의 지속 시간을 측정하는 데 있어 좋은 합의를 보였습니다."
"개에서 만성 췌장염을 모니터링하는 데 1,2-o-dilauryl-rac-glycero glutaric acid-(60-methylresorufin)-ester-lipase (DGGR-lipase)의 유용성은 무엇입니까?","증가된 DGGR-lipase 활동은 개에서 만성 췌장염의 급성 재발을 반영할 수 있습니다. 또한, DGGR-lipase 활동은 질병의 중증도와 관련이 있지만, 중증도를 차별화하는 데는 효율적이지 않습니다."
IAC (Intraarterial Chemotherapy)는 무엇의 약자입니까?,"IAC는 Intraarterial Chemotherapy의 약자로, 종양에 직접 항암제를 투여하는 치료법입니다."
급성 췌장염의 산화 스트레스와 관련된 주변 생체표지자의 역할에 대해 설명하십시오.,"개에서 급성 췌장염(AP)의 산화 스트레스와 관련된 주변 생체표지자에는 반응성 대사물질(RM), 항산화 잠재력(AOP) 및 소변 F2 아이소프로스탄 농도가 포함됩니다. 이 연구에서는 AP 개에서 RM과 RM:AOP 비율이 유의하게 높게 나타났습니다."
고양이의 위장관에 영향을 미치는 희귀한 질환인 GESF(지속성 위장관 이형성 섬유증)의 주요 증상은 무엇입니까?,"GESF는 다양한 증상을 보이지만, 가장 흔한 증상은 무게 감소, 식욕 부진, 만성 구토, 무기력함, 만성 설사 등이 있습니다."
EHV-1 감염의 두 가지 주요 경로는 무엇입니까?,"직접적인 말과 말 사이의 접촉과 오염된 유산된 태아, 태반, 그리고 비말과의 접촉."
개에서 leptospirosis의 고전적인 증상은 무엇입니까?,"개의 고전적인 leptospirosis 증상은 급성 신장 손상과 간 기능 장애, 폐출혈 증후군 및 출혈성 디아티즈입니다."
이 연구에서 prednisone과 cyclosporine이 T-세포의 IL-2와 IFN-γ 표현에 미치는 영향에 대한 가설은 무엇이었나요?,Cyclosporine과 prednisone이 cytokine gene expression을 억제한다는 가설입니다.
MRI 검사에서 T1-weighted (T1W) 이미지를 얻기 위해 사용되는 반복 시간 (TR)과 에코 시간 (TE)의 값은 무엇입니까?,"반복 시간 (TR)은 515ms, 에코 시간 (TE)은 15ms입니다."
개에서 만성 위장염(CE)의 진단에 사용되는 비침습적인 방법에는 어떤 것이 있습니까?,혈청 단백질 biomarker를 분석하는 것
다음 중 미국 이외의 국가에서 온 리뷰어는 누구입니까?,"피에르 데슈리예 (프랑스), 예시카 카발리에리 (오스트리아), 샤론 센터 (뉴욕, 미국 이외 지역), 바클라프 체플레차 (체코 공화국), 케렌 딘머 (뉴질랜드), 페르난다 차카르 (상파울루, 브라질), 세르게 샬루브 (알버타, 캐나다), 제ンス 드리ер (독일), 마누엘 차모로 (앨라배마, 미국 이외 지역), 콜린 드라이버 (미국 이외 지역), 마릴린 던 (퀘벡, 캐나다), 마조리 챈들러 (영국), 앤디 더햄 (햄프셔, 영국), 마리오스 차랄람부스 (독일), 이브라힘 엘소하비 (프린스 에드워드 아일랜드, 캐나다), 오드리 콜리네트 (플로리다, 미국 이외 지역), 스티븐 엡스타인 (캘리포니아, 미국), 로베르토 키오케티 (이탈리아), 최은주 (캘리포니아, 미국), 제임스 엘리엇 (영국), 루스앤 청 (위스콘신, 미국), 조나단 엘리엇 (영국), 세실 르클렉스 (벨기에), 케이티 클로 (온타리오, 캐나다), 에롤 에달 (켄터키, 미국), 아르칸젤로 젠틸레 (이탈리아), 크리스타 에스타 (버지니아, 미국), 펠릭스 지벨스 (스위스)."
OSU 연구팀이 OA-CSM 개들의 장기적인 임상적 경과를 평가하기 위해 사용한 방법은 무엇입니까?,MRI
"HTS와 MAN을 비교했을 때, 어떤 약물이 더 자주 처방되나요?",HTS (Hypertonic saline)는 보다 자주 처방되는 약물입니다.
